pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
47.5,-36.0,0.0,top,C1,,,C_0805_2012Metric,100n,smt
45.2,-67.2,180.0,top,C2,,,C_0805_2012Metric,100n,smt
35.6,-56.7,90.0,top,C3,,,C_0805_2012Metric,100n,smt
40.0,-46.4,0.0,top,D1,,,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,LED_ABRG,smt
32.4,-33.0,90.0,top,J1,,,PinHeader_1x07_P2.54mm_Vertical_special,Conn_01x07,tht
32.38,-70.0,90.0,top,J2,,,PinHeader_1x07_P2.54mm_Vertical,Conn_01x07,tht
40.0,-46.4,0.0,top,N1,,,IN-19A,IN-19A,tht
43.15,-37.0,180.0,top,Q1,,,SOT-323_SC-70,BF820W,smt
46.9,-51.1,90.0,top,Q10,,,SOT-323_SC-70,BF820W,smt
34.0,-40.0,0.0,top,Q11,,,SOT-323_SC-70,BF820W,smt
37.95,-33.8,90.0,top,Q3,,,SOT-323_SC-70,MSB92W,smt
32.2,-48.2,0.0,top,Q4,,,SOT-323_SC-70,BF820W,smt
38.1,-54.8,90.0,top,Q5,,,SOT-323_SC-70,BF820W,smt
45.3,-54.8,90.0,top,Q6,,,SOT-323_SC-70,BF820W,smt
32.1,-43.1,0.0,top,Q7,,,SOT-323_SC-70,BF820W,smt
47.6,-38.6,180.0,top,Q8,,,SOT-323_SC-70,BF820W,smt
47.8,-46.2,90.0,top,Q9,,,SOT-323_SC-70,BF820W,smt
32.4,-56.3,180.0,top,R1,,,R_0805_2012Metric,10k,smt
35.4,-52.9,-90.0,top,R10,,,R_0805_2012Metric,680R,smt
39.1,-43.6,0.0,top,R11,,,R_0805_2012Metric,330R,smt
48.0,-54.8,-90.0,top,R12,,,R_0805_2012Metric,330R,smt
32.4,-64.0,180.0,top,R13,,,R_0805_2012Metric,10k,smt
32.4,-61.5,180.0,top,R14,,,R_0805_2012Metric,10k,smt
47.2,-65.2,0.0,top,R15,,,R_0805_2012Metric,10k,smt
34.5,-66.8,180.0,top,R16,,,R_0805_2012Metric,10k,smt
47.4,-41.2,0.0,top,R17,,,R_0805_2012Metric,10k,smt
47.2,-63.2,0.0,top,R18,,,R_0805_2012Metric,10k,smt
40.7,-54.8,90.0,top,R19,,,R_0805_2012Metric,10k,smt
32.4,-58.5,180.0,top,R2,,,R_0805_2012Metric,10k,smt
32.4,-37.6,180.0,top,R20,,,R_0805_2012Metric,10k,smt
32.6,-52.9,-90.0,top,R21,,,R_0805_2012Metric,10k,smt
45.7,-57.8,180.0,top,R3,,,R_0805_2012Metric,10k,smt
42.8,-54.8,-90.0,top,R4,,,R_0805_2012Metric,10k,smt
47.2,-61.0,0.0,top,R5,,,R_0805_2012Metric,10k,smt
35.35,-33.8,-90.0,top,R6,,,R_0805_2012Metric,1M,smt
38.2,-37.4,90.0,top,R7,,,R_0805_2012Metric,1M,smt
42.35,-33.8,90.0,top,R8,,,R_0805_2012Metric,68k,smt
40.35,-35.2,90.0,top,R9,,,R_0805_2012Metric,68k,smt
40.0,-62.3,0.0,top,U1,,,TQFP-32_7x7mm_P0.8mm,STM32F042K6,smt
