Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,100n,
D1,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,1,LED_ABRG,
"J1, J2",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07,
N1,IN-14,1,IN-14,
Q1,SOT-323_SC-70,1,Q_PNP_BEC,
"Q10, Q11, Q12, Q13, Q14, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-323_SC-70,13,Q_NPN_BEC,
"R1, R10, R14, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R25, R5, R7, R8",0805,18,10k,
"R11, R3",0805,2,68k,
R12,0805,1,680R,
"R13, R9",0805,2,330R,
"R4, R6",0805,2,1M,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32F042K6Tx,
