Designator,Mid X,Mid Y,Rotation,Layer
C1,66.7,-55.0,180.0,top
C2,54.5,-76.9,0.0,top
C3,65.5,-85.7,180.0,top
D1,60.0,-64.9,0.0,top
J1,60.02,-51.5,270.0,top
J2,60.02,-88.5,90.0,top
N1,60.0,-64.97991,0.0,top
Q1,57.7,-52.4,90.0,top
Q10,56.3,-72.0,180.0,top
Q11,66.3,-60.7,180.0,top
Q12,67.7,-63.4,180.0,top
Q13,67.7,-66.5,90.0,top
Q14,67.0,-69.6,180.0,top
Q2,52.4,-54.6,0.0,top
Q3,52.8,-72.0,0.0,top
Q4,52.3,-66.5,90.0,top
Q5,52.3,-63.4,0.0,top
Q6,53.7,-60.7,0.0,top
Q7,56.0,-57.7,180.0,top
Q8,63.0,-57.4,0.0,top
Q9,63.6,-72.0,0.0,top
R1,52.9,-78.9,0.0,top
R10,63.6,-74.4,180.0,top
R11,60.2,-53.5,270.0,top
R12,56.4,-65.325,270.0,top
R13,60.0,-61.9,0.0,top
R14,54.5,-74.6,180.0,top
R15,52.6125,-69.4,180.0,top
R16,54.5,-85.7,180.0,top
R17,53.3,-57.6,270.0,top
R18,59.6,-56.4,180.0,top
R19,63.0,-55.0,180.0,top
R2,52.9,-80.9,0.0,top
R20,60.9,-73.0,90.0,top
R21,58.22,-74.6,180.0,top
R22,66.6,-58.1,0.0,top
R23,68.3,-85.0,270.0,top
R24,67.0,-82.3,0.0,top
R25,67.0,-80.3,0.0,top
R3,62.4,-52.2,270.0,top
R4,55.2,-52.4,270.0,top
R5,67.0,-78.2,180.0,top
R6,55.95,-55.3,0.0,top
R7,63.6,-65.3,270.0,top
R8,51.4,-57.6,90.0,top
R9,60.0,-67.8,0.0,top
U1,60.0,-81.25,270.0,top
