Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
"C1, C2, C3",3,100n,C_0805_2012Metric,,,,smt,Unpolarized capacitor
D1,1,LED_ABRG,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,,,,smt,"Wurth Elektronik2 V, 3.2 V RGB LED 3528 (1411) SMD, WL-SFTW 150141M173100"
"Q1, Q10, Q11, Q4, Q5, Q6, Q7, Q8, Q9",9,BF820W,SOT-323_SC-70,,,,smt,"NPN transistor, base/emitter/collector"
Q3,1,MSB92W,SOT-323_SC-70,,,,smt,"PNP transistor, base/emitter/collector"
"R1, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R3, R4, R5",14,10k,R_0805_2012Metric,,,,smt,Resistor
R10,1,680R,R_0805_2012Metric,,,,smt,Resistor
"R11, R12",2,330R,R_0805_2012Metric,,,,smt,Resistor
"R6, R7",2,1M,R_0805_2012Metric,,,,smt,Resistor
"R8, R9",2,68k,R_0805_2012Metric,,,,smt,Resistor
U1,1,STM32F042K6,TQFP-32_7x7mm_P0.8mm,,,,smt,"STMicroelectronics Arm Cortex-M0 MCU, 32KB flash, 6KB RAM, 48 MHz, 2.0-3.6V, 26 GPIO, LQFP32"
