pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
47.2,-36.0,180.0,top,C1,,,C_0805_2012Metric,100n,smt
48.1,-66.2,-90.0,top,C2,,,C_0805_2012Metric,100n,smt
35.2,-54.0,90.0,top,C3,,,C_0805_2012Metric,100n,smt
40.0,-46.4,0.0,top,D1,,,LED_RGB_Wuerth-PLCC4_3.2x2.8mm_150141M173100,LED_ABRG,smt
32.4,-33.0,90.0,top,J1,,,PinHeader_1x07_P2.54mm_Vertical_special,Conn_01x07,tht
32.38,-70.0,90.0,top,J2,,,PinHeader_1x07_P2.54mm_Vertical,Conn_01x07,tht
40.0,-46.4,180.0,top,N1,,,IN-19A,IN-19A,tht
43.15,-37.0,180.0,top,Q1,,,SOT-323_SC-70,BF820W,smt
32.1,-43.3,0.0,top,Q10,,,SOT-323_SC-70,BF820W,smt
47.8,-49.9,180.0,top,Q11,,,SOT-323_SC-70,BF820W,smt
37.95,-33.8,90.0,top,Q3,,,SOT-323_SC-70,MSB92W,smt
47.8,-43.0,180.0,top,Q4,,,SOT-323_SC-70,BF820W,smt
46.3,-39.7,180.0,top,Q5,,,SOT-323_SC-70,BF820W,smt
35.1,-39.7,0.0,top,Q6,,,SOT-323_SC-70,BF820W,smt
47.8,-46.8,180.0,top,Q7,,,SOT-323_SC-70,BF820W,smt
32.6,-49.4,0.0,top,Q8,,,SOT-323_SC-70,BF820W,smt
32.2,-46.6,0.0,top,Q9,,,SOT-323_SC-70,BF820W,smt
47.1,-62.6,180.0,top,R1,,,R_0805_2012Metric,10k,smt
31.3,-54.0,-90.0,top,R10,,,R_0805_2012Metric,680R,smt
39.1,-43.6,0.0,top,R11,,,R_0805_2012Metric,330R,smt
33.2,-54.0,-90.0,top,R12,,,R_0805_2012Metric,330R,smt
47.1,-54.2,0.0,top,R13,,,R_0805_2012Metric,10k,smt
47.1,-56.2,0.0,top,R14,,,R_0805_2012Metric,10k,smt
32.9,-57.4,180.0,top,R15,,,R_0805_2012Metric,10k,smt
44.3,-53.8,90.0,top,R16,,,R_0805_2012Metric,10k,smt
47.1,-58.2,0.0,top,R17,,,R_0805_2012Metric,10k,smt
33.0,-59.3,180.0,top,R18,,,R_0805_2012Metric,10k,smt
39.9,-66.5,-90.0,top,R19,,,R_0805_2012Metric,10k,smt
47.1,-60.1,0.0,top,R2,,,R_0805_2012Metric,10k,smt
44.0,-66.3,90.0,top,R20,,,R_0805_2012Metric,10k,smt
46.15,-66.15,90.0,top,R21,,,R_0805_2012Metric,10k,smt
41.9,-66.5,90.0,top,R3,,,R_0805_2012Metric,10k,smt
38.0,-66.5125,90.0,top,R4,,,R_0805_2012Metric,10k,smt
33.0,-61.2,180.0,top,R5,,,R_0805_2012Metric,10k,smt
35.35,-33.8,-90.0,top,R6,,,R_0805_2012Metric,1M,smt
38.2,-37.4,90.0,top,R7,,,R_0805_2012Metric,1M,smt
42.35,-33.8,90.0,top,R8,,,R_0805_2012Metric,68k,smt
40.35,-35.2,90.0,top,R9,,,R_0805_2012Metric,68k,smt
40.0,-59.4,180.0,top,U1,,,TQFP-32_7x7mm_P0.8mm,STM32F042K6,smt
